반제/미결항목 기호,연도/월,반제전표,G/L 계정,G/L 계정 설명,전표 유형,전표 번호,개별 항목,입력일,전기일,증빙일,차변/대변지시자,전기 키,사업 영역,사업 영역 내역,현지 통화,금액(현지 통화),금액(전표 통화),전표통화,세금 코드,사업장,텍스트,고객,공급업체,거래처명,세금 번호 2,기능 영역,손익 센터,코스트 센터,코스트센터명,지정,자재,참조 키 1,참조 키 2,참조 키 3,반제일,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,연월,코스트센터타입
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,173,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,646383,646383.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB_마케팅팀||||,,,,,2000.0,,FM0300,MLB_마케팅팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,186,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,326110,326110.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB_AX팀||||,,,,,1000.0,,FM2300,MLB_AX팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,187,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,587045,587045.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB_파트너채널팀||||,,,,,2000.0,,FM1000,MLB_파트너채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,188,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,516352,516352.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB_리테일채널팀||||,,,,,2000.0,,FM1700,MLB_리테일채널팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,189,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,528331,528331.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_용품디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,190,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,292562,292562.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_소재디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,191,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,373989,373989.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_그래픽디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,192,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,125402,125402.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_컬러디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,193,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,982016,982016.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_우븐디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,194,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,840837,840837.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB 디자인연구실_니트디자인팀||||,,,,,1000.0,,FM0700,MLB_디자인팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
,2025/10,,55010107,복리후생비_고용보험,K3,3200006643,195,2025-11-05,2025-10-31,2025-10-31,S,40,2100,MLB,KRW,922162,922162.0,KRW,VZ,1000.0,25.10월 고용보험 회사부담분 MLB_QM팀||||,,,,,1000.0,,FM1400,MLB_QM팀,4대 사회보험료,,,,,,인건비,인건비,복리후생비_의료/건강,202510,부서
