brand,level,category_l1,category_l2,category_l3,current_amount,prev_amount,diff,yoy,insight
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타","410000","0","410000","0","knitty kitty 동호회 비용 전년 사업부 정산"
"DUVETICA","L3","인건비","인건비","복리후생비_의료/건강","5866020","8046960","-2180940","-27","전년 산재보험료 환급 발생"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타","-491300","4137350","-4628650","-112","기획팀 신규 참여로 비용 감소"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대","2362500","2106501","255999","12","인원 감소로 인한 비용 절감"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_기타","1400000","2701309","-1301309","-48","knitty kitty 동호회 비용 감소로 비용 절감"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대","1677261","2579401","-902140","-35","DV디자인팀 회식 인원 축소로 비용 감소"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","복리후생비_식대","1237260","1999709","-762449","-38","간식대 추가 및 영업활동비 감소로 비용 절감"
"DUVETICA","L3","샘플대(제작/구입)","샘플대(제작/구입)","샘플구입대","4702872","6219623","-1516751","-24","DV디자인팀 오리지널 샘플 구매 증가"
"DUVETICA","L3","샘플대(제작/구입)","샘플대(제작/구입)","샘플구입대","145962","0","145962","0","DV디자인팀 KITH니트 샘플구입 신규 발생"
"DUVETICA","L3","인건비","인건비","세금과공과_국민연금","4183960","8003880","-3819920","-48","영업/소싱인원 공통조직 이동으로 인한 감소"
"DUVETICA","L3","기타영업비","기타비용","소모품비_MRO(사무용품)","442414","624228","-181814","-29","사무용품 통합 구매로 비용 절감"
"DUVETICA","L3","기타영업비","기타비용","소모품비_MRO(전산소모품)","43445","388963","-345518","-89","전산용품 구입비(Duvetica)로 항목 전환"
"DUVETICA","L3","기타영업비","기타비용","소모품비_OPP","2620000","0","2620000","0","OPP 비용 신규 발생"
"DUVETICA","L3","VMD/ 매장보수대","VMD/ 매장보수대","소모품비_VMD소모품","19849300","10962485","8886815","81","신세계타임스퀘어, 사우스시티, 더현대서울 VP외 팝업 매장 DID,VM연출 등"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_마네킨사용외","14592","51600","-37008","-72","마네킨 사용 감소로 비용 절감"
"DUVETICA","L3","기타영업비","기타비용","소모품비_기타","1911364","14900","1896464","12728","DV 10월 소모품(티슈페이퍼) 비용 증가"
"DUVETICA","L3","기타영업비","기타비용","소모품비_사무용품","75850","0","75850","0","TD팀 사무용품비 신규 발생"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_사은품사용","-13314418","0","-13314418","0","사은품 캠페인(2025 가을) 시작으로 비용 증가"
"DUVETICA","L3","샘플대(제작/구입)","샘플대(제작/구입)","소모품비_샘플대","1377491","2171963","-794472","-37","26FW 원단 구매 증가로 비용 증가"
"DUVETICA","L3","샘플대(제작/구입)","샘플대(제작/구입)","소모품비_샘플대","1463881","0","1463881","0","제품 샘플 타계정출고로 비용 증가"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_쇼핑백사용","13259046","755000","12504046","1656","DUVETICA X 카리나 캠페인 쇼핑백 증가"
"DUVETICA","L3","기타영업비","저장품사용(쇼핑백/사은품)","소모품비_옷걸이사용","596300","0","596300","0","신규 매장 오픈(강남점)으로 옷걸이 비용 증가"
"DUVETICA","L3","기타영업비","기타비용","소모품비_전산소모품","1533098","691740","841358","122","어도비 프로그램 사업부 확장으로 비용 증가"
"DUVETICA","L3","기타영업비","수선비","수선비_기타","53000","106000","-53000","-50","백화점 중간관리자 수선비 마감 추가"
"DUVETICA","L3","기타영업비","여비교통비","여비교통비_국내출장비","62000","1114050","-1052050","-94","영업팀 출장 감소, VMD팀 사우스시티오픈"
"DUVETICA","L3","기타영업비","여비교통비","여비교통비_시내교통비","1807400","2325580","-518180","-22","영업/소싱 공통부서 이동으로 시내교통비 감소"
"DUVETICA","L3","인건비","인건비","잡급","9445935","7836801","1609134","21","기획팀 1명, VMD1명, 아르바이트 1명"
"DUVETICA","L3","인건비","인건비","급료와 임금","97456430","93588359","3868071","4","디자인팀 제수당 증가로 비용 상승"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_IT사용료","3228116","1911347","1316769","69","AI 프로그램 사용료 증가로 비용 상승"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_교육훈련","181818","0","181818","0","서울 디자인위크 참가로 비용 발생"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_기타","1769178","3291353","-1522175","-46","메인소재 원단&와펜 테스트비용 11백, 소재 창고 이용료 1백 (전년 수출입수수료 17백, 파견직&피팅모델 지급용역비 16백, TEST비용 3백)"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_리스료(차량)","1155000","1155000","0","0","DUVETICA 공통 법인차량 렌탈료 추가"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_리스료(차량제외)","328711","476600","-147889","-31","공용 복합기 도입으로 비용 감소"
"DUVETICA","L3","VMD/ 매장보수대","VMD/ 매장보수대","지급수수료_매장보수대","519000","4389534","-3870534","-88","전년 신세계 대전 벽체 보수"
"DUVETICA","L3","지급수수료","지급수수료_기타","지급수수료_물류운송비","42840","216000","-173160","-80","디자인팀 전환으로 자이언트네트워크 제외"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_온라인몰운영비","8100000","8100000","0","0","전년 동일"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_재고조사","278500","0","278500","0","에이지스와 북서울 재고조사 비용 발생"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_기타","10417680","16260157","-5842477","-36","사이먼제주 집기 폐기 처리로 비용 증가"
"DUVETICA","L3","지급수수료","지급수수료","지급수수료_퀵서비스","1426000","2803000","-1377000","-49","DUVETICA 퀵서비스 사용료 감소"
"DUVETICA","L3","자가임차료(사옥)","자가임차료(사옥)","자가임차료","103299000","65148000","38151000","59","신사옥 이전으로 인한 자가임차료 증가"
"DUVETICA","L3","기타영업비","기타비용","지급임차료_기타","770000","1100000","-330000","-30","위메이드 창고보관 계약으로 비용 감소"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","차량유지비","1317000","2838000","-1521000","-54","임직원 지원금 축소 및 법인차량 주유비 증가"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","차량유지비","220000","0","220000","0","법인차량 정비 및 세차 비용 발생"
"DUVETICA","L3","기타영업비","기타비용","통신비_비즈크로샷","1722449","8092","1714357","21186","데이터라이즈 계약으로 CRM 비용 증가"
"DUVETICA","L3","기타영업비","복리비/차량/핸드폰","통신비_휴대폰지원","799920","1137110","-337190","-30","VMD팀 신설로 통신비 항목 추가"
"DUVETICA","L3","인건비","인건비","퇴직급여","17107307","27696098","-10588791","-38","영업/소싱인원 공통조직 이동으로 인한 감소"
